"litigante","uf","processos"
ADVOGADO-GERAL DA UNIÃO,AC,3
ADVOGADO-GERAL DA UNIÃO,AL,1350
ADVOGADO-GERAL DA UNIÃO,AM,159
ADVOGADO-GERAL DA UNIÃO,AP,7
ADVOGADO-GERAL DA UNIÃO,BA,54
ADVOGADO-GERAL DA UNIÃO,CE,201
ADVOGADO-GERAL DA UNIÃO,DF,1406
ADVOGADO-GERAL DA UNIÃO,ES,127
ADVOGADO-GERAL DA UNIÃO,GO,28
ADVOGADO-GERAL DA UNIÃO,MA,9
ADVOGADO-GERAL DA UNIÃO,MG,194
ADVOGADO-GERAL DA UNIÃO,MG,2
ADVOGADO-GERAL DA UNIÃO,MS,21
ADVOGADO-GERAL DA UNIÃO,MT,14
ADVOGADO-GERAL DA UNIÃO,PA,19
ADVOGADO-GERAL DA UNIÃO,PB,92
ADVOGADO-GERAL DA UNIÃO,PE,245
ADVOGADO-GERAL DA UNIÃO,PE,1
ADVOGADO-GERAL DA UNIÃO,PI,37
ADVOGADO-GERAL DA UNIÃO,PR,176
ADVOGADO-GERAL DA UNIÃO,PR,2
ADVOGADO-GERAL DA UNIÃO,PR,1
ADVOGADO-GERAL DA UNIÃO,RJ,8794
ADVOGADO-GERAL DA UNIÃO,RN,107
ADVOGADO-GERAL DA UNIÃO,RO,13
ADVOGADO-GERAL DA UNIÃO,RR,23
ADVOGADO-GERAL DA UNIÃO,RS,665
ADVOGADO-GERAL DA UNIÃO,SC,300
ADVOGADO-GERAL DA UNIÃO,SC,1
ADVOGADO-GERAL DA UNIÃO,SE,42
ADVOGADO-GERAL DA UNIÃO,SP,355
ADVOGADO-GERAL DA UNIÃO,SP,6
ADVOGADO-GERAL DA UNIÃO,SP,5
ADVOGADO-GERAL DA UNIÃO,SP,4
ADVOGADO-GERAL DA UNIÃO,SP,1
ADVOGADO-GERAL DA UNIÃO,TO,4
ALBERTO CAVALCANTE BRAGA,AC,1
ALBERTO CAVALCANTE BRAGA,AL,6
ALBERTO CAVALCANTE BRAGA,BA,34
ALBERTO CAVALCANTE BRAGA,CE,5
ALBERTO CAVALCANTE BRAGA,DF,58
ALBERTO CAVALCANTE BRAGA,ES,1
ALBERTO CAVALCANTE BRAGA,GO,3
ALBERTO CAVALCANTE BRAGA,MG,70
ALBERTO CAVALCANTE BRAGA,MT,2
ALBERTO CAVALCANTE BRAGA,PA,9
ALBERTO CAVALCANTE BRAGA,PB,7
ALBERTO CAVALCANTE BRAGA,PE,4
ALBERTO CAVALCANTE BRAGA,PI,1
ALBERTO CAVALCANTE BRAGA,PR,4
ALBERTO CAVALCANTE BRAGA,RJ,1
ALBERTO CAVALCANTE BRAGA,RN,1
ALBERTO CAVALCANTE BRAGA,RO,1
ALBERTO CAVALCANTE BRAGA,RS,5
ALBERTO CAVALCANTE BRAGA,SC,1
ALBERTO CAVALCANTE BRAGA,SE,2
ALBERTO CAVALCANTE BRAGA,TO,1
CAIXA ECONÔMICA FEDERAL - CEF,AC,5
CAIXA ECONÔMICA FEDERAL - CEF,AL,469
CAIXA ECONÔMICA FEDERAL - CEF,AL,2
CAIXA ECONÔMICA FEDERAL - CEF,AM,9
CAIXA ECONÔMICA FEDERAL - CEF,AP,5
CAIXA ECONÔMICA FEDERAL - CEF,BA,316
CAIXA ECONÔMICA FEDERAL - CEF,CE,708
CAIXA ECONÔMICA FEDERAL - CEF,DF,836
CAIXA ECONÔMICA FEDERAL - CEF,ES,5
CAIXA ECONÔMICA FEDERAL - CEF,GO,59
CAIXA ECONÔMICA FEDERAL - CEF,MA,58
CAIXA ECONÔMICA FEDERAL - CEF,MG,825
CAIXA ECONÔMICA FEDERAL - CEF,MS,6
CAIXA ECONÔMICA FEDERAL - CEF,MT,38
CAIXA ECONÔMICA FEDERAL - CEF,PA,73
CAIXA ECONÔMICA FEDERAL - CEF,PB,291
CAIXA ECONÔMICA FEDERAL - CEF,PE,537
CAIXA ECONÔMICA FEDERAL - CEF,PI,38
CAIXA ECONOMICA FEDERAL - CEF,PI,1
CAIXA ECONÔMICA FEDERAL - CEF,PR,2970
CAIXA ECONÔMICA FEDERAL - CEF,PR,1
CAIXA ECONÔMICA FEDERAL - CEF,RJ,72
CAIXA ECONÔMICA FEDERAL - CEF,RN,241
CAIXA ECONÔMICA FEDERAL - CEF,RO,5
CAIXA ECONÔMICA FEDERAL - CEF,RR,1
CAIXA ECONÔMICA FEDERAL - CEF,RS,885
CAIXA ECONÔMICA FEDERAL - CEF,RS,4
CAIXA ECONÔMICA FEDERAL - CEF,SC,683
CAIXA ECONÔMICA FEDERAL - CEF,SE,64
CAIXA ECONÔMICA FEDERAL - CEF,SP,900
CAIXA ECONÔMICA FEDERAL - CEF,TO,2
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AC,7
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AL,71
